Block wise Ground Water Resources Data of Bhandara District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Bhandara","8756.896","437.846","8319.049","2833.239","682.769","3516.011","42.265",
"Lakhandur","40449.722","3815.049","36634.673","2729.847","429.648","3159.491","8.624",
"Lakhani","5932.486","296.624","5635.861","2718.734","437.798","3156.532","56.008",
"Mohadi","6015.458","300.767","5714.690","2823.691","455.099","3278.789","57.375",
"Pauni","15896.147","1169.814","14726.332","4964.037","497.946","5461.974","37.090",
"Sakoli","7228.980","371.862","6857.119","3045.941","532.741","3578.711","52.190",
"Tumsar","8360.341","444.128","7916.213","3298.818","650.072","3948.882","49.883",
