Block wise Ground Water Resources Data of Akola District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Akola","4597.685","278.843","4318.842","2103.320","519.678","2622.998","60.734",
"Akot","4658.821","295.168","4363.653","2674.872","137.271","2812.155","64.445",
"Balapur","4553.909","302.637","4251.272","2433.357","266.885","2700.235","63.516",
"Barsi Takli","5693.227","349.131","5344.095","3308.194","718.972","4027.170","75.357",
"Murtizapur","5280.531","289.376","4991.154","3228.315","243.878","3472.181","69.567",
"Patur","5788.529","326.660","5461.869","3517.740","227.195","3744.938","68.565",
"Telhara","7600.818","721.528","6879.289","4247.097","133.949","4381.049","63.685",
