Block wise Ground Water Resources Data of Thane District (In ham) of 2020

Block/Mandal/Taluka,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Irrigation Draft,Domestic and Industry Draft,Total Draft,Stage of Goundwater Development (%)
"Ambarnath","1827.686","91.381","1736.306","286.555","64.149","350.696","20.198",
"Bhivandi","2957.963","160.351","2797.612","1007.067","127.184","1134.237","40.543",
"Kalyan","866.252","43.312","822.940","121.166","41.868","163.032","19.811",
"Murbad","3802.343","190.126","3612.217","211.029","128.667","339.700","9.404",
"Shahapur","6410.541","391.947","6018.595","517.286","197.585","714.858","11.877",
"Thane","1402.454","70.121","1332.333","221.270","152.411","373.687","28.048",
"Ulhasnagar","87.271","4.363","82.907","33.291","1.779","35.070","42.301",
